model,strategy,fam,epoch,train_loss,valid_loss,valid_f1,test_f1
sincFold,sortS200,srp,12.0,0.0084,0.0197,0.6941,
sincFold,sortS200,srp,13.0,0.0056,0.0202,0.6842,
sincFold,sortS200,srp,14.0,0.0044,0.019,0.72,
sincFold,sortS200,srp,15.0,0.0035,0.0264,0.7292,0.213
sincFold,sortS200,srp,16.0,0.003,0.0263,0.7104,
sincFold,sortS200,srp,17.0,0.002,0.0335,0.733,
sincFold,sortS200,srp,18.0,0.0016,0.0269,0.7456,
sincFold,sortS200,srp,19.0,0.0016,0.0213,0.7163,
sincFold,sortS200,srp,20.0,0.0016,0.0315,0.7516,0.209
sincFold,sortS200,srp,21.0,0.0013,0.0359,0.7588,
sincFold,sortS200,srp,22.0,0.0006,0.0305,0.7572,
sincFold,sortS200,srp,23.0,0.0009,0.0344,0.7388,
sincFold,sortS200,srp,24.0,0.0011,0.0358,0.7472,
sincFold,sortS200,srp,25.0,0.0011,0.0328,0.7339,0.215
sincFold,sortS200,grp1,0.0,0.0597,0.0485,0.3877,
sincFold,sortS200,grp1,1.0,0.0597,0.0485,0.3877,
sincFold,sortS200,grp1,2.0,0.0347,0.0465,0.4216,
sincFold,sortS200,grp1,3.0,0.0311,0.0361,0.5001,
sincFold,sortS200,grp1,4.0,0.028,0.0404,0.5204,
sincFold,sortS200,grp1,5.0,0.0256,0.0322,0.5344,0.403
sincFold,sortS200,grp1,6.0,0.0274,0.0349,0.5097,
sincFold,sortS200,grp1,7.0,0.024,0.0294,0.5742,
sincFold,sortS200,grp1,8.0,0.0215,0.0317,0.5634,
sincFold,sortS200,grp1,9.0,0.018,0.066,0.4879,
sincFold,sortS200,grp1,10.0,0.0163,0.0255,0.6292,0.401
sincFold,sortS200,grp1,11.0,0.0124,0.0282,0.6099,
sincFold,sortS200,grp1,12.0,0.009,0.0263,0.6517,
sincFold,sortS200,grp1,13.0,0.0072,0.0433,0.6701,
sincFold,sortS200,grp1,14.0,0.0047,0.0319,0.69,
sincFold,sortS200,grp1,15.0,0.0032,0.0281,0.6693,0.296
sincFold,sortS200,grp1,16.0,0.0038,0.0299,0.6581,
sincFold,sortS200,grp1,17.0,0.0033,0.0275,0.6721,
sincFold,sortS200,grp1,18.0,0.0022,0.031,0.6854,
sincFold,sortS200,grp1,19.0,0.0017,0.0533,0.7029,
sincFold,sortS200,grp1,20.0,0.0018,0.0614,0.6952,0.314
sincFold,sortS200,grp1,21.0,0.0016,0.0552,0.6911,
sincFold,sortS200,grp1,22.0,0.002,0.0392,0.6779,
sincFold,sortS200,grp1,23.0,0.0018,0.0505,0.7075,
sincFold,sortS200,grp1,24.0,0.001,0.0786,0.6717,
sincFold,sortS200,grp1,25.0,0.001,0.0437,0.7137,0.287
sincFold,sortS200,telomerase,0.0,0.0564,0.0483,0.4132,
sincFold,sortS200,telomerase,1.0,0.0564,0.0483,0.4132,
sincFold,sortS200,telomerase,2.0,0.0334,0.0391,0.4775,
sincFold,sortS200,telomerase,3.0,0.0292,0.0363,0.5183,
sincFold,sortS200,telomerase,4.0,0.0266,0.0317,0.5376,
sincFold,sortS200,telomerase,5.0,0.0242,0.0329,0.559,0.182
sincFold,sortS200,telomerase,6.0,0.0237,0.0321,0.5984,
sincFold,sortS200,telomerase,7.0,0.0205,0.0276,0.6117,
sincFold,sortS200,telomerase,8.0,0.0181,0.0287,0.6332,
